obec,kraj,odberatelu,mist,lokalit,vykon,teplo_mnozstvi,teplo_cena,uhli,pod_uhli,plyn,pod_plyn,biomasa,pod_biomasa,olej,pod_olej,ostatni,pod_ostatni
Otrokovice,Z,67,208,2,0.0,146253.0,572.9509990222423,142991.5581,0.9777,102.37710000000003,0.0007000000000000002,1243.1505,0.0085,146.253,0.0009999999999999998,1769.6613,0.0121
Pacov,J,1,1,1,0.8,7600.0,249.78,0.0,0.0,0.0,0.0,7600.0,1.0,0.0,0.0,0.0,0.0
Pardubice,E,130,298,7,275.63500000000005,225123.0,516.2558110899374,193637.79330000002,0.860142203595368,30454.104,0.13527762156687678,101.58,0.00045121999973347904,929.5227,0.004128954838021882,0.0,0.0
Paseky nad Jizerou,L,1,1,1,0.436,532.0,696.81,0.0,0.0,0.0,0.0,0.0,0.0,532.0,1.0,0.0,0.0
Paskov,T,12,25,3,7.068,13094.0,532.4569298915534,0.0,0.0,654.2514000000001,0.049965740033603184,0.0,0.0,0.0,0.0,12439.748599999999,0.9500342599663968
Pec pod Sněžkou,H,2,2,1,0.068,103.0,765.74,0.0,0.0,0.0,0.0,0.0,0.0,103.0,1.0,0.0,0.0
Pelhřimov,J,149,198,4,49.542,96173.0,631.3371903756772,0.0,0.0,2598.5303999999996,0.027019333908685387,84364.0064,0.8772109261435121,8632.4632,0.08975973714036165,578.0,0.006010002807440758
Petrovice,U,4,5,1,0.466,1254.0,770.33,0.0,0.0,0.0,0.0,0.0,0.0,1254.0,1.0,0.0,0.0
Petřvald,T,4,13,1,3.048,10514.0,559.9865113182423,0.0,0.0,10514.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Petřvald DIN,T,1,2,1,0.26,1151.0,551.43,0.0,0.0,1151.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Planá,P,2,2,2,0.196,1123.0,510.3908993766696,0.0,0.0,1123.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Planá nad Lužnicí,C,39,49,2,4.404,18469.0,543.7208711895609,3181.4575,0.1722593264388976,9253.3935,0.5010229844604472,6034.149,0.3267176891006552,0.0,0.0,0.0,0.0
Planá nad Lužnicí Sezimovo Ústi,C,14,19,1,109.685,467002.0,400.28066890505823,464153.2878,0.9939,2848.7122,0.0060999999999999995,0.0,0.0,0.0,0.0,0.0,0.0
Planá u Mariánských Lázní,P,35,41,1,4.8,24297.0,593.39,0.0,0.0,2879.1945,0.11850000000000001,21417.805500000002,0.8815000000000001,0.0,0.0,0.0,0.0
Plasy,P,3,3,1,0.39299999999999996,1352.0,478.6000000000001,0.0,0.0,1352.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Plesná,K,9,9,2,1.9649999999999999,4444.0,615.7229342934293,0.0,0.0,4444.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Plzeň,P,2253,2867,43,912.675,3338354.0,432.4740934394615,2207338.9167,0.6612057668839194,38396.716400000005,0.01150169107290599,795893.8628999998,0.2384090671330841,1342.1191999999999,0.0004020302220795038,295175.9966,0.08841962134632816
Poběžovice,P,8,8,2,0.186,991.0,599.0311099899093,684.0,0.6902119071644803,307.0,0.30978809283551967,0.0,0.0,0.0,0.0,0.0,0.0
Podbořany,U,41,29,2,9.61,18723.0,617.6005223521871,0.0,0.0,18723.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Poděbrady,S,55,60,5,20.535,34006.0,606.1040157619245,0.0,0.0,34006.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
