obec,kraj,vykon,teplo_mnozstvi,teplo_cena,uhli,plyn,biomasa,olej,ostatni,pod_uhli,pod_plyn,pod_biomasa,pod_olej,pod_ostatni
Hostinné,H,27.256,23760.0,457.6,0.0,23760.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hostivice,S,0.75,2557.0,655.8903949941339,0.0,2557.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hostomice pod Brdy,S,0.25,1500.0,727.65,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Hostouň,P,1.22,3885.0,815.3243243243244,0.0,3465.0,420.0,0.0,0.0,0.0,0.8918918918918919,0.10810810810810811,0.0,0.0
Hostětín,Z,0.732,3200.0,402.0,0.0,0.0,3200.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Hořice,H,10.146,30162.0,483.7928519328957,0.0,30162.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hořice na Šumavě,C,0.8029999999999999,4600.0,647.25,4600.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hořovice,S,10.887,35746.0,579.8032395233033,0.0,35746.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hoštka,U,0.22899999999999998,1180.0,702.85,0.0,1180.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hrabyně,T,7.003,31151.0,330.61540528393954,0.0,31151.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hradec Králové,H,0.2,1052218.0,538.7492011731409,1046703.8722,1521.0802,0.0,3993.0476000000003,0.0,0.9947595196052529,0.001445594163947015,0.0,0.0037948862308000817,0.0
"Hradec Králové Pardubice Chrudim Rybitví Lázně Bohdaneč 
Opatovice nad Labem","E, H",1302.2,3352000.0,453.89441522971356,3338927.2,335.2,0.0,12737.6,0.0,0.9961000000000001,9.999999999999999e-05,0.0,0.0038,0.0
Hradec nad Moravicí,T,2.49,8044.0,552.3492541024366,0.0,8044.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hranice,M,61.721000000000004,113475.0,522.6424495263274,45444.0,68031.0,0.0,0.0,0.0,0.40047587574355586,0.5995241242564442,0.0,0.0,0.0
Hranice na Moravě,M,0.081,250.0,405.86,0.0,250.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hranice u Aše,K,4.085,14855.0,556.7490037024571,0.0,14855.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hrob,U,1.08,1652.0,550.3573002421308,0.0,1652.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hrotovice,J,0.8240000000000001,8000.0,275.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Hrádek nad Nisou,L,5.4110000000000005,23085.0,577.2635390946501,0.0,23085.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
